ruleKey;remediationFunction;remediationFactor
org.codenarc.rule.comments.JavadocEmptyLastLineRule;linear;5min
org.codenarc.rule.comments.JavadocEmptyParamTagRule;linear;5min
org.codenarc.rule.comments.JavadocEmptyReturnTagRule;linear;5min
org.codenarc.rule.comments.JavadocEmptySeeTagRule;linear;5min
org.codenarc.rule.comments.JavadocEmptySinceTagRule;linear;5min
org.codenarc.rule.comments.JavadocEmptyThrowsTagRule;linear;5min
org.codenarc.rule.comments.JavadocEmptyVersionTagRule;linear;5min
org.codenarc.rule.comments.JavadocMissingExceptionDescriptionRule;linear;5min
org.codenarc.rule.comments.JavadocMissingParamDescriptionRule;linear;5min
org.codenarc.rule.comments.JavadocMissingThrowsDescriptionRule;linear;5min
org.codenarc.rule.concurrency.BusyWaitRule;linear;1h
org.codenarc.rule.concurrency.DoubleCheckedLockingRule;linear;1d
org.codenarc.rule.concurrency.InconsistentPropertyLockingRule;linear;20min
org.codenarc.rule.concurrency.InconsistentPropertySynchronizationRule;linear;20min
org.codenarc.rule.concurrency.NestedSynchronizationRule;linear;1d
org.codenarc.rule.concurrency.StaticCalendarFieldRule;linear;20min
org.codenarc.rule.concurrency.StaticConnectionRule;linear;1d
org.codenarc.rule.concurrency.StaticDateFormatFieldRule;linear;1h
org.codenarc.rule.concurrency.StaticMatcherFieldRule;linear;1h
org.codenarc.rule.concurrency.StaticSimpleDateFormatFieldRule;linear;1h
org.codenarc.rule.concurrency.SynchronizedMethodRule;linear;1h
org.codenarc.rule.concurrency.SynchronizedOnBoxedPrimitiveRule;linear;1h
org.codenarc.rule.concurrency.SynchronizedOnGetClassRule;linear;1h
org.codenarc.rule.concurrency.SynchronizedOnReentrantLockRule;linear;1h
org.codenarc.rule.concurrency.SynchronizedOnStringRule;linear;1h
org.codenarc.rule.concurrency.SynchronizedOnThisRule;linear;1h
org.codenarc.rule.concurrency.SynchronizedReadObjectMethodRule;linear;1h
org.codenarc.rule.concurrency.SystemRunFinalizersOnExitRule;linear;10min
org.codenarc.rule.concurrency.ThisReferenceEscapesConstructorRule;linear;1h
org.codenarc.rule.concurrency.ThreadGroupRule;linear;1h
org.codenarc.rule.concurrency.ThreadLocalNotStaticFinalRule;linear;1h
org.codenarc.rule.concurrency.ThreadYieldRule;linear;1h
org.codenarc.rule.concurrency.UseOfNotifyMethodRule;linear;20min
org.codenarc.rule.concurrency.VolatileArrayFieldRule;linear;1h
org.codenarc.rule.concurrency.VolatileLongOrDoubleFieldRule;linear;1h
org.codenarc.rule.concurrency.WaitOutsideOfWhileLoopRule;linear;1h
org.codenarc.rule.convention.CompileStaticRule;linear;5min
org.codenarc.rule.convention.ConfusingTernaryRule;linear;10min
org.codenarc.rule.convention.CouldBeElvisRule;linear;10min
org.codenarc.rule.convention.CouldBeSwitchStatementRule;linear;5min
org.codenarc.rule.convention.FieldTypeRequiredRule;linear;5min
org.codenarc.rule.convention.HashtableIsObsoleteRule;linear;10min
org.codenarc.rule.convention.IfStatementCouldBeTernaryRule;linear;5min
org.codenarc.rule.convention.ImplicitClosureParameterRule;linear;5min
org.codenarc.rule.convention.ImplicitReturnStatementRule;linear;5min
org.codenarc.rule.convention.InvertedConditionRule;linear;5min
org.codenarc.rule.convention.InvertedIfElseRule;linear;10min
org.codenarc.rule.convention.LongLiteralWithLowerCaseLRule;linear;5min
org.codenarc.rule.convention.MethodParameterTypeRequired;linear;5min
org.codenarc.rule.convention.MethodReturnTypeRequiredRule;linear;5min
org.codenarc.rule.convention.NoDefRule;linear;5min
org.codenarc.rule.convention.NoDoubleRule;linear;5min
org.codenarc.rule.convention.NoFloatRule;linear;5min
org.codenarc.rule.convention.NoJavaUtilDateRule;linear;5min
org.codenarc.rule.convention.NoTabCharacterRule;linear;2min
org.codenarc.rule.convention.ParameterReassignmentRule;linear;20min
org.codenarc.rule.convention.PublicMethodsBeforeNonPublicMethodsRule;linear;5min
org.codenarc.rule.convention.PublicMethodsBeforeNonPublicMethodsRule>;linear;5min
org.codenarc.rule.convention.StaticFieldsBeforeInstanceFieldsRule;linear;5min
org.codenarc.rule.convention.StaticMethodsBeforeInstanceMethodsRule;linear;5min
org.codenarc.rule.convention.TernaryCouldBeElvisRule;linear;10min
org.codenarc.rule.convention.TrailingCommaRule;linear;5min
org.codenarc.rule.convention.VariableTypeRequiredRule;linear;5min
org.codenarc.rule.convention.VectorIsObsoleteRule;linear;20min
org.codenarc.rule.design.AbstractClassWithPublicConstructorRule;linear;5min
org.codenarc.rule.design.AbstractClassWithoutAbstractMethodRule;linear;5min
org.codenarc.rule.design.AssignmentToStaticFieldFromInstanceMethodRule;linear;20min
org.codenarc.rule.design.BooleanMethodReturnsNullRule;linear;10min
org.codenarc.rule.design.BuilderMethodWithSideEffectsRule;linear;20min
org.codenarc.rule.design.CloneWithoutCloneableRule;linear;10min
org.codenarc.rule.design.CloneableWithoutCloneRule;linear;10min
org.codenarc.rule.design.CloseWithoutCloseableRule;linear;10min
org.codenarc.rule.design.CompareToWithoutComparableRule;linear;10min
org.codenarc.rule.design.ConstantsOnlyInterfaceRule;linear;20min
org.codenarc.rule.design.EmptyMethodInAbstractClassRule;linear;10min
org.codenarc.rule.design.FinalClassWithProtectedMemberRule;linear;20min
org.codenarc.rule.design.ImplementationAsTypeRule;linear;10min
org.codenarc.rule.design.InstanceofRule;linear;5min
org.codenarc.rule.design.LocaleSetDefaultRule;linear;20min
org.codenarc.rule.design.NestedForLoopRule;linear;10min
org.codenarc.rule.design.OptionalCollectionReturnTypeRule;linear;5min
org.codenarc.rule.design.OptionalFieldRule;linear;5min
org.codenarc.rule.design.OptionalMethodParameterRule;linear;5min
org.codenarc.rule.design.PrivateFieldCouldBeFinalRule.fixed;linear;10min
org.codenarc.rule.design.PublicInstanceFieldRule;linear;10min
org.codenarc.rule.design.ReturnsNullInsteadOfEmptyArrayRule;linear;20min
org.codenarc.rule.design.ReturnsNullInsteadOfEmptyCollectionRule;linear;20min
org.codenarc.rule.design.SimpleDateFormatMissingLocaleRule;linear;10min
org.codenarc.rule.design.StatelessSingletonRule;linear;1h
org.codenarc.rule.design.ToStringReturnsNullRule;linear;5min
org.codenarc.rule.dry.DuplicateListLiteralRule;linear;5min
org.codenarc.rule.dry.DuplicateMapLiteralRule;linear;5min
org.codenarc.rule.dry.DuplicateNumberLiteralRule;linear;5min
org.codenarc.rule.dry.DuplicateStringLiteralRule;linear;5min
org.codenarc.rule.enhanced.MissingOverrideAnnotationRule;linear;5min
org.codenarc.rule.exceptions.CatchArrayIndexOutOfBoundsExceptionRule;linear;10min
org.codenarc.rule.exceptions.CatchErrorRule;linear;1h
org.codenarc.rule.exceptions.CatchExceptionRule;linear;20min
org.codenarc.rule.exceptions.CatchIllegalMonitorStateExceptionRule;linear;1h
org.codenarc.rule.exceptions.CatchIndexOutOfBoundsExceptionRule;linear;10min
org.codenarc.rule.exceptions.CatchNullPointerExceptionRule;linear;20min
org.codenarc.rule.exceptions.CatchRuntimeExceptionRule;linear;20min
org.codenarc.rule.exceptions.CatchThrowableRule;linear;20min
org.codenarc.rule.exceptions.ConfusingClassNamedExceptionRule;linear;5min
org.codenarc.rule.exceptions.ExceptionExtendsErrorRule;linear;10min
org.codenarc.rule.exceptions.ExceptionExtendsThrowableRule;linear;15min
org.codenarc.rule.exceptions.ExceptionNotThrownRule;linear;10min
org.codenarc.rule.exceptions.MissingNewInThrowStatementRule;linear;10min
org.codenarc.rule.exceptions.ReturnNullFromCatchBlockRule;linear;20min
org.codenarc.rule.exceptions.SwallowThreadDeathRule;linear;1h
org.codenarc.rule.exceptions.ThrowErrorRule;linear;20min
org.codenarc.rule.exceptions.ThrowExceptionRule;linear;20min
org.codenarc.rule.exceptions.ThrowNullPointerExceptionRule;linear;20min
org.codenarc.rule.exceptions.ThrowRuntimeExceptionRule;linear;20min
org.codenarc.rule.exceptions.ThrowThrowableRule;linear;20min
org.codenarc.rule.formatting.BlankLineBeforePackageRule;linear;5min
org.codenarc.rule.formatting.BlockEndsWithBlankLineRule;linear;5min
org.codenarc.rule.formatting.BlockStartsWithBlankLineRule;linear;5min
org.codenarc.rule.formatting.BracesForClassRule;linear;5min
org.codenarc.rule.formatting.BracesForForLoopRule;linear;5min
org.codenarc.rule.formatting.BracesForIfElseRule;linear;5min
org.codenarc.rule.formatting.BracesForMethodRule;linear;5min
org.codenarc.rule.formatting.BracesForTryCatchFinallyRule;linear;5min
org.codenarc.rule.formatting.ClassEndsWithBlankLineRule;linear;5min
org.codenarc.rule.formatting.ClassJavadocRule;linear;10min
org.codenarc.rule.formatting.ClassStartsWithBlankLineRule;linear;5min
org.codenarc.rule.formatting.ClosureStatementOnOpeningLineOfMultipleLineClosureRule;linear;10min
org.codenarc.rule.formatting.ConsecutiveBlankLinesRule;linear;5min
org.codenarc.rule.formatting.FileEndsWithoutNewlineRule;linear;5min
org.codenarc.rule.formatting.IndentationRule;linear;5min
org.codenarc.rule.formatting.LineLengthRule;linear;10min
org.codenarc.rule.formatting.MissingBlankLineAfterImportsRule;linear;5min
org.codenarc.rule.formatting.MissingBlankLineAfterPackageRule;linear;5min
org.codenarc.rule.formatting.MissingBlankLineBeforeAnnotatedFieldRule;linear;5min
org.codenarc.rule.formatting.SpaceAfterCatchRule;linear;5min
org.codenarc.rule.formatting.SpaceAfterClosingBraceRule;linear;5min
org.codenarc.rule.formatting.SpaceAfterCommaRule;linear;5min
org.codenarc.rule.formatting.SpaceAfterForRule;linear;5min
org.codenarc.rule.formatting.SpaceAfterIfRule;linear;5min
org.codenarc.rule.formatting.SpaceAfterMethodCallNameRule;linear;5min
org.codenarc.rule.formatting.SpaceAfterMethodDeclarationNameRule;linear;5min
org.codenarc.rule.formatting.SpaceAfterNotOperatorRule;linear;5min
org.codenarc.rule.formatting.SpaceAfterOpeningBraceRule;linear;5min
org.codenarc.rule.formatting.SpaceAfterSemicolonRule;linear;5min
org.codenarc.rule.formatting.SpaceAfterSwitchRule;linear;5min
org.codenarc.rule.formatting.SpaceAfterWhileRule;linear;5min
org.codenarc.rule.formatting.SpaceAroundClosureArrowRule;linear;5min
org.codenarc.rule.formatting.SpaceAroundMapEntryColonRule;linear;5min
org.codenarc.rule.formatting.SpaceAroundOperatorRule;linear;5min
org.codenarc.rule.formatting.SpaceBeforeClosingBraceRule;linear;5min
org.codenarc.rule.formatting.SpaceBeforeOpeningBraceRule;linear;5min
org.codenarc.rule.formatting.SpaceInsideParenthesesRule;linear;5min
org.codenarc.rule.formatting.TrailingWhitespaceRule;linear;5min
org.codenarc.rule.generic.IllegalClassMemberRule.fixed;linear;10min
org.codenarc.rule.generic.IllegalClassReferenceRule.fixed;linear;10min
org.codenarc.rule.generic.IllegalPackageReferenceRule.fixed;linear;10min
org.codenarc.rule.generic.IllegalRegexRule.fixed;linear;10min
org.codenarc.rule.generic.IllegalStringRule.fixed;linear;10min
org.codenarc.rule.generic.RequiredRegexRule.fixed;linear;20min
org.codenarc.rule.generic.RequiredStringRule.fixed;linear;20min
org.codenarc.rule.generic.StatelessClassRule.fixed;linear;20min
org.codenarc.rule.grails.GrailsDomainGormMethodsRule;linear;5min
org.codenarc.rule.grails.GrailsDomainHasEqualsRule;linear;20min
org.codenarc.rule.grails.GrailsDomainHasToStringRule;linear;20min
org.codenarc.rule.grails.GrailsDomainReservedSqlKeywordNameRule;linear;20min
org.codenarc.rule.grails.GrailsDomainStringPropertyMaxSizeRule;linear;5min
org.codenarc.rule.grails.GrailsDomainWithServiceReferenceRule;linear;20min
org.codenarc.rule.grails.GrailsDuplicateConstraintRule;linear;20min
org.codenarc.rule.grails.GrailsDuplicateMappingRule;linear;20min
org.codenarc.rule.grails.GrailsMassAssignmentRule;linear;20min
org.codenarc.rule.grails.GrailsPublicControllerMethodRule.fixed;linear;20min
org.codenarc.rule.grails.GrailsServletContextReferenceRule;linear;20min
org.codenarc.rule.grails.GrailsStatelessServiceRule;linear;20min
org.codenarc.rule.groovyism.AssignCollectionSortRule;linear;5min
org.codenarc.rule.groovyism.AssignCollectionUniqueRule;linear;5min
org.codenarc.rule.groovyism.ClosureAsLastMethodParameterRule;linear;5min
org.codenarc.rule.groovyism.CollectAllIsDeprecatedRule;linear;5min
org.codenarc.rule.groovyism.ConfusingMultipleReturnsRule;linear;20min
org.codenarc.rule.groovyism.ExplicitArrayListInstantiationRule;linear;10min
org.codenarc.rule.groovyism.ExplicitCallToAndMethodRule;linear;5min
org.codenarc.rule.groovyism.ExplicitCallToCompareToMethodRule;linear;5min
org.codenarc.rule.groovyism.ExplicitCallToDivMethodRule;linear;5min
org.codenarc.rule.groovyism.ExplicitCallToEqualsMethodRule;linear;5min
org.codenarc.rule.groovyism.ExplicitCallToGetAtMethodRule;linear;5min
org.codenarc.rule.groovyism.ExplicitCallToLeftShiftMethodRule;linear;5min
org.codenarc.rule.groovyism.ExplicitCallToMinusMethodRule;linear;5min
org.codenarc.rule.groovyism.ExplicitCallToModMethodRule;linear;5min
org.codenarc.rule.groovyism.ExplicitCallToMultiplyMethodRule;linear;5min
org.codenarc.rule.groovyism.ExplicitCallToOrMethodRule;linear;5min
org.codenarc.rule.groovyism.ExplicitCallToPlusMethodRule;linear;5min
org.codenarc.rule.groovyism.ExplicitCallToPowerMethodRule;linear;5min
org.codenarc.rule.groovyism.ExplicitCallToPutAtMethodRule;linear;5min
org.codenarc.rule.groovyism.ExplicitCallToRightShiftMethodRule;linear;5min
org.codenarc.rule.groovyism.ExplicitCallToXorMethodRule;linear;5min
org.codenarc.rule.groovyism.ExplicitHashMapInstantiationRule;linear;5min
org.codenarc.rule.groovyism.ExplicitHashSetInstantiationRule;linear;5min
org.codenarc.rule.groovyism.ExplicitLinkedHashMapInstantiationRule;linear;5min
org.codenarc.rule.groovyism.ExplicitLinkedListInstantiationRule;linear;5min
org.codenarc.rule.groovyism.ExplicitStackInstantiationRule;linear;5min
org.codenarc.rule.groovyism.ExplicitTreeSetInstantiationRule;linear;5min
org.codenarc.rule.groovyism.GStringAsMapKeyRule;linear;10min
org.codenarc.rule.groovyism.GStringExpressionWithinStringRule;linear;10min
org.codenarc.rule.groovyism.GetterMethodCouldBePropertyRule;linear;10min
org.codenarc.rule.groovyism.GroovyLangImmutableRule;linear;10min
org.codenarc.rule.groovyism.UseCollectManyRule;linear;5min
org.codenarc.rule.groovyism.UseCollectNestedRule;linear;5min
org.codenarc.rule.imports.DuplicateImportRule;linear;5min
org.codenarc.rule.imports.ImportFromSamePackageRule;linear;10min
org.codenarc.rule.imports.ImportFromSunPackagesRule;linear;20min
org.codenarc.rule.imports.MisorderedStaticImportsRule;linear;10min
org.codenarc.rule.imports.NoWildcardImportsRule;linear;5min
org.codenarc.rule.imports.UnnecessaryGroovyImportRule;linear;5min
org.codenarc.rule.imports.UnusedImportRule;linear;10min
org.codenarc.rule.jdbc.DirectConnectionManagementRule;linear;1d
org.codenarc.rule.jdbc.JdbcConnectionReferenceRule;linear;1h
org.codenarc.rule.jdbc.JdbcResultSetReferenceRule;linear;1h
org.codenarc.rule.jdbc.JdbcStatementReferenceRule;linear;1h
org.codenarc.rule.junit.ChainedTestRule;linear;20min
org.codenarc.rule.junit.CoupledTestCaseRule;linear;1h
org.codenarc.rule.junit.JUnitAssertAlwaysFailsRule;linear;10min
org.codenarc.rule.junit.JUnitAssertAlwaysSucceedsRule;linear;10min
org.codenarc.rule.junit.JUnitAssertEqualsConstantActualValueRule;linear;10min
org.codenarc.rule.junit.JUnitFailWithoutMessageRule;linear;10min
org.codenarc.rule.junit.JUnitLostTestRule;linear;10min
org.codenarc.rule.junit.JUnitPublicFieldRule;linear;10min
org.codenarc.rule.junit.JUnitPublicNonTestMethodRule;linear;10min
org.codenarc.rule.junit.JUnitPublicPropertyRule.fixed;linear;10min
org.codenarc.rule.junit.JUnitSetUpCallsSuperRule;linear;10min
org.codenarc.rule.junit.JUnitStyleAssertionsRule;linear;10min
org.codenarc.rule.junit.JUnitTearDownCallsSuperRule;linear;10min
org.codenarc.rule.junit.JUnitTestMethodWithoutAssertRule;linear;20min
org.codenarc.rule.junit.JUnitUnnecessarySetUpRule;linear;10min
org.codenarc.rule.junit.JUnitUnnecessaryTearDownRule;linear;10min
org.codenarc.rule.junit.JUnitUnnecessaryThrowsExceptionRule;linear;10min
org.codenarc.rule.junit.SpockIgnoreRestUsedRule.fixed;linear;20min
org.codenarc.rule.junit.UnnecessaryFailRule;linear;5min
org.codenarc.rule.junit.UseAssertEqualsInsteadOfAssertTrueRule;linear;5min
org.codenarc.rule.junit.UseAssertFalseInsteadOfNegationRule;linear;5min
org.codenarc.rule.junit.UseAssertNullInsteadOfAssertEqualsRule;linear;5min
org.codenarc.rule.junit.UseAssertSameInsteadOfAssertTrueRule;linear;5min
org.codenarc.rule.junit.UseAssertTrueInsteadOfAssertEqualsRule;linear;5min
org.codenarc.rule.junit.UseAssertTrueInsteadOfNegationRule;linear;5min
org.codenarc.rule.logging.LoggerForDifferentClassRule;linear;10min
org.codenarc.rule.logging.LoggerWithWrongModifiersRule;linear;5min
org.codenarc.rule.logging.LoggingSwallowsStacktraceRule;linear;10min
org.codenarc.rule.logging.MultipleLoggersRule;linear;10min
org.codenarc.rule.logging.PrintStackTraceRule;linear;10min
org.codenarc.rule.logging.PrintlnRule;linear;10min
org.codenarc.rule.logging.SystemErrPrintRule;linear;10min
org.codenarc.rule.logging.SystemOutPrintRule;linear;10min
org.codenarc.rule.naming.AbstractClassNameRule.fixed;linear;5min
org.codenarc.rule.naming.ClassNameRule;linear;10min
org.codenarc.rule.naming.ClassNameSameAsFilenameRule;linear;10min
org.codenarc.rule.naming.ClassNameSameAsSuperclassRule;linear;5min
org.codenarc.rule.naming.ConfusingMethodNameRule;linear;5min
org.codenarc.rule.naming.FactoryMethodNameRule;linear;10min
org.codenarc.rule.naming.FieldNameRule.fixed;linear;10min
org.codenarc.rule.naming.InterfaceNameRule.fixed;linear;10min
org.codenarc.rule.naming.InterfaceNameSameAsSuperInterfaceRule;linear;5min
org.codenarc.rule.naming.MethodNameRule.fixed;linear;10min
org.codenarc.rule.naming.ObjectOverrideMisspelledMethodNameRule;linear;10min
org.codenarc.rule.naming.PackageNameMatchesFilePathRule.fixed;linear;5min
org.codenarc.rule.naming.PackageNameRule;linear;10min
org.codenarc.rule.naming.ParameterNameRule.fixed;linear;10min
org.codenarc.rule.naming.PropertyNameRule.fixed;linear;10min
org.codenarc.rule.naming.VariableNameRule.fixed;linear;10min
org.codenarc.rule.security.FileCreateTempFileRule;linear;10min
org.codenarc.rule.security.InsecureRandomRule;linear;20min
org.codenarc.rule.security.JavaIoPackageAccessRule;linear;1h
org.codenarc.rule.security.NonFinalPublicFieldRule;linear;20min
org.codenarc.rule.security.NonFinalSubclassOfSensitiveInterfaceRule;linear;20min
org.codenarc.rule.security.ObjectFinalizeRule;linear;20min
org.codenarc.rule.security.PublicFinalizeMethodRule;linear;20min
org.codenarc.rule.security.SystemExitRule;linear;10min
org.codenarc.rule.security.UnsafeArrayDeclarationRule;linear;10min
org.codenarc.rule.security.UnsafeImplementationAsMapRule;linear;20min
org.codenarc.rule.serialization.EnumCustomSerializationIgnoredRule;linear;10min
org.codenarc.rule.serialization.SerialPersistentFieldsRule;linear;10min
org.codenarc.rule.serialization.SerialVersionUIDRule;linear;10min
org.codenarc.rule.serialization.SerializableClassMustDefineSerialVersionUIDRule;linear;10min
org.codenarc.rule.size.AbcMetricRule.fixed;linear;3h
org.codenarc.rule.size.ClassSizeRule;linear;20min
org.codenarc.rule.size.CrapMetricRule.fixed;linear;1h
org.codenarc.rule.size.CyclomaticComplexityRule.fixed;linear;1h
org.codenarc.rule.size.MethodCountRule;linear;1d
org.codenarc.rule.size.MethodSizeRule.fixed;linear;1h
org.codenarc.rule.size.NestedBlockDepthRule;linear;20min
org.codenarc.rule.size.ParameterCountRule;linear;20min
org.codenarc.rule.unnecessary.AddEmptyStringRule;linear;5min
org.codenarc.rule.unnecessary.ConsecutiveLiteralAppendsRule;linear;20min
org.codenarc.rule.unnecessary.ConsecutiveStringConcatenationRule;linear;10min
org.codenarc.rule.unnecessary.UnnecessaryBigDecimalInstantiationRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryBigIntegerInstantiationRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryBooleanExpressionRule;linear;10min
org.codenarc.rule.unnecessary.UnnecessaryBooleanInstantiationRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryCallForLastElementRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryCallToSubstringRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryCastRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryCatchBlockRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryCollectCallRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryCollectionCallRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryConstructorRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryDefInFieldDeclarationRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryDefInMethodDeclarationRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryDefInVariableDeclarationRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryDotClassRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryDoubleInstantiationRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryElseStatementRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryFinalOnPrivateMethodRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryFloatInstantiationRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryGStringRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryGetterRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryIfStatementRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryInstanceOfCheckRule;linear;10min
org.codenarc.rule.unnecessary.UnnecessaryInstantiationToGetClassRule;linear;10min
org.codenarc.rule.unnecessary.UnnecessaryIntegerInstantiationRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryLongInstantiationRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryModOneRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryNullCheckBeforeInstanceOfRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryNullCheckRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryObjectReferencesRule;linear;10min
org.codenarc.rule.unnecessary.UnnecessaryOverridingMethodRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryPackageReferenceRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryParenthesesForMethodCallWithClosureRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryPublicModifierRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryReturnKeywordRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessarySafeNavigationOperatorRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessarySelfAssignmentRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessarySemicolonRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessarySetterRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryStringInstantiationRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessarySubstringRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryTernaryExpressionRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryToStringRule;linear;5min
org.codenarc.rule.unnecessary.UnnecessaryTransientModifierRule;linear;5min
org.codenarc.rule.unused.UnusedArrayRule;linear;10min
org.codenarc.rule.unused.UnusedMethodParameterRule;linear;5min
org.codenarc.rule.unused.UnusedObjectRule;linear;5min
org.codenarc.rule.unused.UnusedPrivateFieldRule;linear;5min
org.codenarc.rule.unused.UnusedPrivateMethodParameterRule;linear;5min
org.codenarc.rule.unused.UnusedPrivateMethodRule;linear;5min
org.codenarc.rule.unused.UnusedVariableRule.fixed;linear;5min
